episode,reward,length
0,307.80430042743683,85
1,173.06298753619194,1000
2,295.8901404738426,76
3,136.96690908446908,1000
4,177.29275973886251,1000
5,143.9046236164868,1000
6,197.19530302286148,1000
7,191.3975149691105,1000
8,158.60609216988087,1000
9,295.65323507785797,74
